Player,Pos,Ht,Wt,Forty,Vertical,BenchReps,BroadJump,Cone,Shuttle,pro bowl?
Jace Sternberger,TE,76,251,4.75,31.5,17,113,7.19,4.31,0
Easton Stick,QB,73,224,4.62,33.5,,118,6.65,4.05,0
Jarrett Stidham,QB,74,218,4.81,31,,110,7.28,4.33,0
Montez Sweat,EDG,78,260,4.41,36,21,125,7,4.29,0
Thomas Sweeney,TE,76,251,4.83,,17,,,,0
Jordan Ta'amu-Perifanos,QB,75,221,4.77,27.5,,109,7.06,4.36,0
Trevon Tate,OG,74,293,,,22,,,,0
Marvell Tell,S,74,198,,42,,136,6.63,4.01,0
Deionte Thompson,S,73,195,,,,,,,0
Juan Thornhill,S,72,205,4.42,44,21,141,,,0
Clayton Thorson,QB,76,222,,,,,,,0
Jerry Tillery,DT,78,295,4.93,32,23,115,7.45,4.33,0
Cole Tracy,K,70,184,,,,,,,0
D'Andre Walker,EDG,74,251,,,,,,,0
Kahale Warring,TE,77,252,4.67,36.5,19,122,7.21,4.25,0
Armon Watts,DT,77,300,5.23,,,,,,0
Mike Weber,RB,70,211,4.47,33.5,22,,,,0
Trevon Wesco,TE,75,267,4.89,31,24,117,7.18,4.38,0
Darius West,S,71,208,4.39,33.5,19,113,,,0
Dexter Williams,RB,71,212,4.57,36,17,130,7,4.16,0
Trayveon Williams,RB,68,206,4.51,33,19,121,7.44,4.44,0
Khari Willis,S,71,213,4.52,34.5,22,118,,,0
Caleb Wilson,TE,76,240,4.56,29,,113,7.2,4.4,0
Donovan Wilson,S,72,199,,36,18,127,,,0
Andrew Wingard,S,72,209,4.56,36.5,9,121,7.08,4.2,0
Chase Winovich,EDG,75,256,4.59,30.5,18,116,6.94,4.11,0
Mitch Wishnowsky,P,74,218,4.63,32.5,,117,,,0
Zedrick Woods,S,71,205,4.29,34.5,19,122,7,4.15,0
Evan Worthington,S,74,212,4.63,33.5,17,121,7.07,4.37,0
Oshane Ximines,EDG,75,253,4.78,34,24,118,7.13,4.57,0
