Pos,Player,Conf,Tm,Age,Yrs,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Sk,Int,All-pro teams
LT,Orlando Pace\PaceOr00,NFC,STL,30,8,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,PFW: 1st Tm All-Conf.
WR,Koren Robinson\RobiKo00,NFC,MIN,25,4,14,5,0,0,0,0,0,4,27,1,22,347,1,,0.0,0,PFW: 1st Tm All-Conf.
LG,Mike Wahle\WahlMi55,NFC,CAR,28,7,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,PFW: 1st Tm All-Conf.
QB,Tom Brady\BradTo00,AFC,NWE,28,5,16,16,334,530,4110,26,14,27,89,1,0,0,0,,0.0,0,AP: 2nd Tm
FB,Lorenzo Neal\NealLo00,AFC,SDG,35,12,16,15,0,0,0,0,0,29,98,0,24,145,1,1,0.0,0,AP: 2nd Tm
MLB,Zach Thomas\ThomZa01,AFC,MIA,32,9,14,14,0,0,0,0,0,0,0,0,0,0,0,107,2.0,1,AP: 2nd Tm
LG,Larry Allen\AlleLa00,NFC,DAL,34,11,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
,Mike Bartrum\BartMi00,NFC,PHI,35,12,16,0,0,0,0,0,0,0,0,0,2,6,2,3,0.0,0,
C,LeCharles Bentley\BentLe00,NFC,NOR,26,3,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
MLB,Keith Brooking\BrooKe00,NFC,ATL,30,7,16,16,0,0,0,0,0,0,0,0,0,0,0,89,3.5,4,
WR,Chris Chambers\ChamCh00,AFC,MIA,27,4,16,16,0,0,0,0,0,12,92,0,82,1118,11,0,0.0,0,
TE,Alge Crumpler\CrumAl00,NFC,ATL,28,4,16,16,0,0,0,0,0,0,0,0,65,877,5,1,0.0,0,
FS,Brian Dawkins\DawkBr00,NFC,PHI,32,9,16,16,0,0,0,0,0,0,0,0,0,0,0,69,3.5,3,
QB,Jake Delhomme\DelhJa00,NFC,CAR,30,6,16,16,262,435,3421,24,16,24,31,1,0,0,0,0,0.0,0,
RB,Warrick Dunn\DunnWa00,NFC,ATL,30,8,16,16,0,0,0,0,0,280,1416,3,29,220,1,0,0.0,0,
WR,Larry Fitzgerald\FitzLa00,NFC,ARI,22,1,16,16,0,0,0,0,0,8,41,0,103,1409,10,0,0.0,0,
LT,Tarik Glenn\GlenTa99,AFC,IND,29,8,16,16,0,0,0,0,0,0,0,0,0,0,0,,0.0,0,
NT,La'Roi Glover\GlovLa00,NFC,DAL,31,9,16,13,0,0,0,0,0,0,0,0,0,0,0,23,3.0,0,
TE,Tony Gonzalez\GonzTo00,AFC,KAN,29,8,16,16,0,0,0,0,0,0,0,0,78,905,2,0,0.0,0,
QB,Trent Green\GreeTr00,AFC,KAN,35,8,16,16,317,507,4014,17,10,35,82,0,0,0,0,0,0.0,0,
LCB,DeAngelo Hall\HallDe99,NFC,ATL,22,1,15,15,0,0,0,0,0,0,0,0,0,0,0,59,0.0,6,
NT,Casey Hampton\HampCa00,AFC,PIT,28,4,16,15,0,0,0,0,0,0,0,0,0,0,0,27,0.0,0,
