Pos,Player,Conf,Tm,Age,Yrs,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Sk,Int,All-pro teams
LG,Ruben Brown\BrowRu00,AFC,BUF,27,4,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,PFW: 1st Tm All-Conf. AP: 2nd Tm
RB,Stephen Davis\DaviSt00,NFC,WAS,25,3,14,14,0,0,0,0,0,290,1405,17,23,111,0,0,0.0,0,PFW: 1st Tm All-Conf. AP: 2nd Tm
RB,Eddie George\GeorEd00,AFC,TEN,26,3,16,16,0,0,0,0,0,320,1304,9,47,458,4,,0.0,0,PFW: 1st Tm All-Conf. AP: 2nd Tm
RG,Tre' Johnson\JohnTr03,NFC,WAS,28,5,16,16,0,0,0,0,0,0,0,0,0,0,0,,0.0,0,PFW: 1st Tm All-Conf. AP: 2nd Tm
LCB,Todd Lyght\LyghTo00,NFC,STL,30,8,16,16,0,0,0,0,0,0,0,0,0,0,0,59,2.5,6,PFW: 1st Tm All-Conf. AP: 2nd Tm
QB,Peyton Manning\MannPe00,AFC,IND,23,1,16,16,331,533,4135,26,15,35,73,2,0,0,0,0,0.0,0,PFW: 1st Tm All-Conf. AP: 2nd Tm
MLB,Hardy Nickerson\NickHa00,NFC,TAM,34,12,16,16,0,0,0,0,0,0,0,0,0,0,0,66,0.5,2,PFW: 1st Tm All-Conf. AP: 2nd Tm
LT,Jonathan Ogden\OgdeJo00,AFC,BAL,25,3,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,PFW: 1st Tm All-Conf. AP: 2nd Tm
WR,Jimmy Smith\SmitJi00,AFC,JAX,30,7,16,16,0,0,0,0,0,0,0,0,116,1636,6,0,0.0,0,PFW: 1st Tm All-Conf. AP: 2nd Tm
TE,Wesley Walls\WallWe00,NFC,CAR,33,10,16,16,0,0,0,0,0,0,0,0,63,822,12,0,0.0,0,PFW: 1st Tm All-Conf. AP: 2nd Tm
FS,Brian Dawkins\DawkBr00,NFC,PHI,26,3,16,16,0,0,0,0,0,0,0,0,0,0,0,58,1.5,4,PFW: 1st Tm All-Conf.
RDT,Luther Elliss\ElliLu00,NFC,DET,26,4,15,14,0,0,0,0,0,0,0,0,0,0,0,32,3.5,0,PFW: 1st Tm All-Conf.
,Tremain Mack\MackTr00,AFC,CIN,25,2,12,0,0,0,0,0,0,0,0,0,0,0,0,17,0.0,0,PFW: 1st Tm All-Conf.
LDE,Robert Porcher\PorcRo00,NFC,DET,30,7,15,14,0,0,0,0,0,0,0,0,0,0,0,35,15.0,0,PFW: 1st Tm All-Conf.
LT,Willie Roaf\RoafWi00,NFC,NOR,29,6,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,PFW: 1st Tm All-Conf.
,Detron Smith\SmitDe00,AFC,DEN,25,3,16,0,0,0,0,0,0,1,7,0,4,23,0,13,0.0,0,PFW: 1st Tm All-Conf.
,Jason Hanson\hansojas01,NFC,DET,29,7,16,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,PFW: 1st Tm All-Conf.
FB,Sam Gash\GashSa00,AFC,BUF,30,7,15,11,0,0,0,0,0,0,0,0,20,163,2,,0.0,0,AP: 2nd Tm
RDE,Simeon Rice\RiceSi00,NFC,ARI,25,3,16,16,0,0,0,0,0,0,0,0,0,0,0,42,16.5,0,AP: 2nd Tm
RT,Leon Searcy\SearLe00,AFC,JAX,30,7,16,16,0,0,0,0,0,0,0,0,0,0,0,,0.0,0,AP: 2nd Tm
RLB,Junior Seau\SeauJu00,AFC,SDG,30,9,14,14,0,0,0,0,0,0,0,0,2,8,0,74,3.5,1,AP: 2nd Tm
LDT,Bryant Young\YounBr00,NFC,SFO,27,5,16,16,0,0,0,0,0,0,0,0,0,0,0,36,11.0,0,AP: 2nd Tm
QB,Steve Beuerlein\BeueSt00,NFC,CAR,34,11,16,16,343,571,4436,36,15,27,124,2,0,0,0,,0.0,0,
MLB,Stephen Boyd\BoydSt00,NFC,DET,27,4,14,14,0,0,0,0,0,0,0,0,0,0,0,86,0.0,1,
RLB,Chad Brown\BrowCh04,AFC,SEA,29,6,15,15,0,0,0,0,0,0,0,0,0,0,0,87,5.5,0,
WR,Tim Brown\BrowTi00,AFC,OAK,33,11,16,16,0,0,0,0,0,1,4,0,90,1344,6,0,0.0,0,
QB,Mark Brunell\BrunMa00,AFC,JAX,29,5,15,15,259,441,3060,14,9,47,208,1,0,0,0,0,0.0,0,
RLB,Dexter Coakley\CoakDe00,NFC,DAL,27,2,16,16,0,0,0,0,0,0,0,0,0,0,0,72,1.0,4,
RB,Corey Dillon\DillCo00,AFC,CIN,25,2,15,15,0,0,0,0,0,263,1200,5,31,290,1,0,0.0,0,
QB,Rich Gannon\GannRi00,AFC,OAK,34,12,16,16,304,515,3840,24,14,46,298,2,1,-3,0,0,0.0,0,
WR,Terry Glenn\GlenTe00,AFC,NWE,25,3,14,13,0,0,0,0,0,0,0,0,69,1147,4,0,0.0,0,
C,Tim Grunhard\GrunTi20,AFC,KAN,31,9,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
RCB,James Hasty\HastJa00,AFC,KAN,34,11,15,15,0,0,0,0,0,0,0,0,0,0,0,72,1.0,7,
QB,Brad Johnson\JohnBr00,NFC,WAS,31,5,16,16,316,519,4005,24,13,26,31,2,0,0,0,0,0.0,0,
WR,Keyshawn Johnson\JohnKe00,AFC,NYJ,27,3,16,16,0,1,0,0,0,5,6,0,89,1170,8,0,0.0,0,
LT,Walter Jones\JoneWa00,AFC,SEA,25,2,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
RDT,Cortez Kennedy\KennCo00,AFC,SEA,31,9,16,16,0,0,0,0,0,0,0,0,0,0,0,62,6.5,2,
LOLB,Mo Lewis\LewiMo00,AFC,NYJ,30,8,16,16,0,0,0,0,0,0,0,0,0,0,0,59,5.5,0,
C,Tony Mayberry\MaybTo00,NFC,TAM,32,9,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
RDE,Michael McCrary\McCrMi00,AFC,BAL,29,6,16,16,0,0,0,0,0,0,0,0,0,0,0,43,11.5,0,
LG,Randall McDaniel\McDaRa00,NFC,MIN,35,11,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
