Pos,Player,Conf,Tm,Age,Yrs,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Sk,Int,All-pro teams
RCB,Ronde Barber\BarbRo00,NFC,TAM,31,9,16,16,0,0,0,0,0,0,0,0,0,0,0,85,0.0,3,AP: 2nd Tm
TE,Tony Gonzalez\GonzTo00,AFC,KAN,30,9,15,15,0,0,0,0,0,0,0,0,73,900,5,0,0.0,0,AP: 2nd Tm
RDT,John Henderson\HendJo99,AFC,JAX,27,4,16,16,0,0,0,0,0,0,0,0,0,0,0,38,3.5,0,AP: 2nd Tm
WR,Andre Johnson\JohnAn02,AFC,HOU,25,3,16,16,0,0,0,0,0,3,14,0,103,1147,5,0,0.0,0,AP: 2nd Tm
RLB,Bart Scott\ScotBa20,AFC,BAL,26,4,16,16,0,0,0,0,0,0,0,0,0,0,0,78,9.5,2,AP: 2nd Tm
MLB,Al Wilson\WilsAl00,AFC,DEN,29,7,15,15,0,0,0,0,0,0,0,0,0,0,0,79,1.0,0,AP: 2nd Tm
LT,Flozell Adams\AdamFl00,NFC,DAL,31,8,16,16,0,0,0,0,0,0,0,0,0,0,0,,0.0,0,
LG,Larry Allen\AlleLa00,NFC,SFO,35,12,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
RB,Tiki Barber\BarbTi00,NFC,NYG,31,9,16,16,0,0,0,0,0,327,1662,5,58,465,0,0,0.0,0,
,David Binn\BinnDa20,AFC,SDG,34,12,16,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,0,
C,Matt Birk\BirkMa00,NFC,MIN,30,8,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
WR,Anquan Boldin\BoldAn00,NFC,ARI,26,3,16,16,0,0,0,0,0,5,28,0,83,1203,4,0,0.0,0,
RLB,Derrick Brooks\BrooDe00,NFC,TAM,33,11,16,16,0,0,0,0,0,0,0,0,0,0,0,96,0.0,3,
LG,Ruben Brown\BrowRu00,NFC,CHI,34,11,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
QB,Marc Bulger\BulgMa00,NFC,STL,29,4,16,16,370,588,4301,24,8,18,44,0,0,0,0,0,0.0,0,
RDE,Derrick Burgess\BurgDe99,AFC,OAK,28,5,16,16,0,0,0,0,0,0,0,0,0,0,0,43,11.0,0,
LT,Tarik Glenn\GlenTa99,AFC,IND,30,9,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
C,Andre Gurode\GuroAn20,NFC,DAL,28,4,16,16,0,0,0,0,0,0,0,0,0,0,0,,0.0,0,
LCB,DeAngelo Hall\HallDe99,NFC,ATL,23,2,16,16,0,0,0,0,0,0,0,0,1,0,0,51,0.0,4,
NT,Casey Hampton\HampCa00,AFC,PIT,29,5,15,15,0,0,0,0,0,0,0,0,0,0,0,31,0.0,0,
C,Nick Hardwick\HardNi55,AFC,SDG,25,2,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
RCB,Walt Harris\HarrWa21,NFC,SFO,32,10,15,15,0,0,0,0,0,0,0,0,0,0,0,52,1.0,8,
RDT,Kris Jenkins\JenkKr00,NFC,CAR,27,5,16,16,0,0,0,0,0,0,0,0,0,0,0,32,3.0,0,
MLB,Ray Lewis\LewiRa00,AFC,BAL,31,10,14,14,0,0,0,0,0,0,0,0,0,0,0,80,5.0,2,
LT,Matt Light\LighMa20,AFC,NWE,28,5,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
FS,John Lynch\LyncJo00,AFC,DEN,35,13,16,16,0,0,0,0,0,0,0,0,0,0,0,59,0.0,0,
LCB,Chris McAlister\McAlCh00,AFC,BAL,29,7,16,16,0,0,0,0,0,0,0,0,0,0,0,43,0.0,6,
LT,Marcus McNeill\McNeMa20,AFC,SDG,23,Rook,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
,Dave Moore\MoorDa00,NFC,TAM,37,14,13,0,0,0,0,0,0,0,0,0,1,9,0,0,0.0,0,
QB,Carson Palmer\PalmCa00,AFC,CIN,27,2,16,16,324,520,4035,28,13,26,37,0,0,0,0,0,0.0,0,
RB,Willie Parker\ParkWi00,AFC,PIT,26,2,16,16,0,0,0,0,0,337,1494,13,31,222,3,0,0.0,0,
RLB,Julian Peterson\PeteJu00,NFC,SEA,28,6,16,16,0,0,0,0,0,0,0,0,0,0,0,71,10.0,1,
MLB,Antonio Pierce\PierAn20,NFC,NYG,28,5,16,16,0,0,0,0,0,0,0,0,0,0,0,109,1.0,1,
SS,Troy Polamalu\PolaTr99,AFC,PIT,25,3,13,13,0,0,0,0,0,0,0,0,0,0,0,57,1.0,3,
QB,Philip Rivers\RivePh00,AFC,SDG,25,2,16,16,284,460,3388,22,9,48,49,0,0,0,0,0,0.0,0,
QB,Tony Romo\RomoTo00,NFC,DAL,26,2,16,10,220,337,2903,19,13,34,102,0,0,0,0,0,0.0,0,
LT,Chris Samuels\SamuCh00,NFC,WAS,29,6,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
TE,Jeremy Shockey\ShocJe00,NFC,NYG,26,4,15,15,0,0,0,0,0,0,0,0,66,623,7,0,0.0,0,
WR,Steve Smith\SmitSt01,NFC,CAR,27,5,14,14,0,0,0,0,0,8,61,1,83,1166,8,0,0.0,0,
RDE,Will Smith\SmitWi99,NFC,NOR,25,2,14,14,0,0,0,0,0,0,0,0,0,0,0,33,10.5,0,
FB,Mack Strong\StroMa00,NFC,SEA,35,12,16,10,0,0,0,0,0,33,149,1,29,159,0,0,0.0,0,
RDE,Terrell Suggs\SuggTe99,AFC,BAL,24,3,16,15,0,0,0,0,0,0,0,0,0,0,0,47,9.5,0,
MLB,Lofa Tatupu\TatuLo99,NFC,SEA,24,1,16,16,0,0,0,0,0,0,0,0,0,0,0,93,1.5,1,
FS,Sean Taylor\TaylSe20,NFC,WAS,23,2,16,16,0,0,0,0,0,0,0,0,0,0,0,89,0.0,1,
LG,Brian Waters\WateBr55,AFC,KAN,29,6,14,14,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,
WR,Reggie Wayne\WaynRe00,AFC,IND,28,5,16,16,0,0,0,0,0,0,0,0,86,1310,9,0,0.0,0,
LDT,Pat Williams\WillPa20,NFC,MIN,34,9,16,16,0,0,0,0,0,0,0,0,0,0,0,37,1.0,0,
SS,Roy Williams\WillRo03,NFC,DAL,26,4,16,16,0,0,0,0,0,0,0,0,0,0,0,53,0.0,5,
WR,Roy Williams\WillRo04,NFC,DET,25,2,16,16,0,0,0,0,0,2,2,0,82,1310,7,0,0.0,0,
TE,Jason Witten\WittJa00,NFC,DAL,24,3,16,15,0,0,0,0,0,0,0,0,64,754,1,1,0.0,0,
QB,Vince Young\YounVi00,AFC,TEN,23,Rook,15,13,184,357,2199,12,13,83,552,7,0,0,0,0,0.0,0,
